Timestamp,Username,VideoID,Comment,Date
2020-10-31T23:57:40Z,@susanhutchinson4102,GgINUxecNrg,Our great President Trump at work! Best President ever!! Please vote Trump and red ticket!,2020-10-31T23:57:40Z
2020-10-14T09:23:03Z,@pandajackninja34,GgINUxecNrg,i was at this rally i want to go to another one 🇺🇸💪TRUMP 2020,2020-10-14T09:23:03Z
2020-09-02T14:43:27Z,@colingalentine8007,GgINUxecNrg,"Another Trump rally this weekend Jeeps run and raggata at river near Hiawatha boat launch bring boat's for Trump, Jeeps will line up @Lycoming mall Mumcy Pa.",2020-09-02T14:43:27Z
2020-05-27T11:59:38Z,@danh.2834,GgINUxecNrg,"Looking forward to the end of the hysteria over the plague...living in fear..isn't living..at all....there are many forces...within our great nation..that cringe upon seeing the revival of the American spirit...everything spawned....failed to suppress it...then the plague...normally, in times of crisis..the media tries to be uplifting...now they work non-stop ...to fan the flames of fear...this too will fail..... live free or die",2020-05-27T11:59:38Z
2020-05-24T12:03:58Z,@elaineabello6848,GgINUxecNrg,Good morning,2020-05-24T12:03:58Z
2020-04-28T17:38:44Z,@rainsonofargus6070,GgINUxecNrg,I live in montoursville,2020-04-28T17:38:44Z
2020-01-02T21:20:13Z,@carolluker3479,GgINUxecNrg,👍👏👏👏👏👏👏👏👊👊👊👊👊👊👊❤️❤️❤️❤️❤️❤️❤️❤️,2020-01-02T21:20:13Z
2019-12-30T02:59:55Z,@laker2020,GgINUxecNrg,almost 2020. why havent crooked hillary trials began yet?long over do. @she gotta answer 4 fake dossier  amongst other crimes..oh yeah trump the GOAT,2019-12-30T02:59:55Z
2019-12-23T15:42:47Z,@maloub.7698,GgINUxecNrg,Please bring back the steel companies back to Pensylvannia. @PresidentTrump,2019-12-23T15:42:47Z
2019-11-27T03:41:00Z,@fiwarelli,GgINUxecNrg,What's going on with fox News?,2019-11-27T03:41:00Z
2019-11-19T18:37:43Z,@krevkrev1764,GgINUxecNrg,MAGA,2019-11-19T18:37:43Z
2019-11-08T02:52:33Z,@sedsworld1672,GgINUxecNrg,"Mr. Donald J. Trump- greatest American President of our lifetime. ♥️🇺🇸♥️ Thank you Sir, for fighting for us!",2019-11-08T02:52:33Z
2019-10-24T02:04:26Z,@ppronny12345,GgINUxecNrg,Go Trump  no more middle east oil Drill here,2019-10-24T02:04:26Z
2019-10-23T23:13:13Z,@jimcricket943,GgINUxecNrg,30.10 listen,2019-10-23T23:13:13Z
2019-10-15T17:24:48Z,@puntang_killa6973,GgINUxecNrg,Hell yea Montoursville!,2019-10-15T17:24:48Z
2019-10-11T10:27:36Z,@comptroller39,GgINUxecNrg,Worst of all time.  Most corrupt administration ever.  Lies all the time.,2019-10-11T10:27:36Z
2019-10-11T04:32:44Z,@raulvaladez9110,GgINUxecNrg,Liar liar liar liar ...dumbest president ever,2019-10-11T04:32:44Z
2019-09-30T18:51:31Z,@mosesnyirenda6359,GgINUxecNrg,"""Who knows, politics in the crazy world""",2019-09-30T18:51:31Z
2019-08-30T22:13:16Z,@deannatrocha,GgINUxecNrg,Thank God for President Donald J. Trump!,2019-08-30T22:13:16Z
2019-08-24T20:32:53Z,@garrywagner7717,GgINUxecNrg,That's why Mr. President you have to make a example with extreme  prejudice towards  those who were treasonous!,2019-08-24T20:32:53Z
2019-08-24T20:20:37Z,@garrywagner7717,GgINUxecNrg,We need to stop immigration until we sort it out. Phase one round up and deport.,2019-08-24T20:20:37Z
2019-08-24T20:04:45Z,@garrywagner7717,GgINUxecNrg,Thankyou  Mr. President for stopping  the systematically  dismantling  of the USA,2019-08-24T20:04:45Z
2019-08-24T19:39:18Z,@garrywagner7717,GgINUxecNrg,Thankyou  Mr. President for stopping the systematically dismantling  of the USA,2019-08-24T19:39:18Z
2019-08-15T06:56:22Z,@markdefren1222,GgINUxecNrg,"Americans First , America First , MAGA !! . Thank you president Trump for everything you have done for our country. !! .",2019-08-15T06:56:22Z
2019-07-30T23:43:51Z,@MIRANDARIOROSA,GgINUxecNrg,"I AM FOND, I LOVE AND I ADMIRE MY PRESIDENT. MAY GOD BLESS YOU MR. TRUMP. SO BE IT.",2019-07-30T23:43:51Z
2019-07-28T13:54:18Z,@donaldwilson3568,GgINUxecNrg,Best wishes to all Americans Trump 2020 Love from Canada,2019-07-28T13:54:18Z
2019-07-27T07:07:56Z,@parvinderkumar3342,GgINUxecNrg,"Coming generaftions shall be inspired Inspired by Zeal and zest of president, hat's off",2019-07-27T07:07:56Z
2019-07-23T21:01:26Z,@mstone9364,GgINUxecNrg,"Dear Pennsylvania, you will decide 2020",2019-07-23T21:01:26Z
2019-07-22T13:50:28Z,@mikeg.5233,GgINUxecNrg,Best President ever. God bless President Trump and the USA. Trump 2020. 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,2019-07-22T13:53:18Z
2019-07-19T02:16:12Z,@twinklingstar3372,GgINUxecNrg,"Another Nazi Rally?  Why are they not wearing the white costumes and hoods?  Look: Now imagine you worked in a Company, at a school, a hospital or factory, and said to you:  If any person said to you: ""Go back to your own country where you belong"" (especially if you are a US Citizen) You would definitely call them a RACIST, report them and have them fired! So why has Trump not resigned or been fired! 

Anyone who says otherwise is delusional or needs a good hard look in the mirror at themselves! This is racist rhetoric and viciousness!",2019-07-19T02:16:12Z
2019-07-10T20:20:34Z,@Jay-qj9zk,GgINUxecNrg,Pretty sure I could kick each one of those cuckservstives asses lol,2019-07-10T20:20:34Z
2019-07-04T04:49:59Z,@PedroGonzalez-ev4jg,GgINUxecNrg,Trump es la luz de América presidente prosperidad usa #1 Trump 2020gracias Pedro x desde Miami,2019-07-04T04:49:59Z
2019-06-30T11:42:00Z,@apchaiman7804,GgINUxecNrg,🌡YEAH💢SUPER💣HOLY💥TRUMP💭WOOHOO🛐,2019-06-30T11:42:00Z
2019-06-30T11:41:51Z,@apchaiman7804,GgINUxecNrg,🌡YEAH💢SUPER💣HOLY💥TRUMP💭WOOHOO🛐,2019-06-30T11:41:51Z
2019-06-24T02:20:16Z,@wadeherrington2999,GgINUxecNrg,Go anti christ. I mean trump,2019-06-24T02:20:16Z
2019-06-24T02:00:43Z,@wadeherrington2999,GgINUxecNrg,I love money. Go trump,2019-06-24T02:00:43Z
2019-06-24T01:59:50Z,@wadeherrington2999,GgINUxecNrg,I'm a low income worker. Or at least I used to be . Till trump,2019-06-24T01:59:50Z
2019-06-19T16:39:48Z,@dexterdaughtry4728,GgINUxecNrg,MASSIVE AND MASSIVE LANDSLIDE VOTES FOR OUR BELOVED PRESIDENT TRUMP ON 2020. LONG LIVE PRESIDENT TRUMP..USA..USA..USA..!!!!!,2019-06-19T16:39:48Z
2019-06-18T23:36:23Z,@goldengreen7763,GgINUxecNrg,What an absolute douchebag! Trump for prison 2020!,2019-06-18T23:36:23Z
2019-06-17T21:46:12Z,@hectorcurbelo2758,GgINUxecNrg,TRUMP 2020!!!,2019-06-17T21:46:12Z
2019-06-17T12:24:47Z,@markdefren1222,GgINUxecNrg,Thank you President Trump for everything you have done for America!! . Go President Trump Go !! . From  California . MAGA !! .,2019-06-17T12:24:47Z
2019-06-17T04:51:39Z,@johnmcfarland1134,GgINUxecNrg,"in the beginning when the song was going on, it made me tear up because it's very sad that it's pride month rn, and yet we only give our thanks to the soldiers one day who gave their life, so we could be where we are now.",2019-06-17T04:51:39Z
2019-06-16T21:47:09Z,@mepo5673,GgINUxecNrg,Isn't he supposed to work instead of just hanging around?,2019-06-16T21:47:09Z
2019-06-15T18:35:35Z,@purplerain5214,GgINUxecNrg,Do dump ever work? All he does is fly all over the place for himself.,2019-06-15T18:35:35Z
2019-06-14T19:18:00Z,@erniez7259,GgINUxecNrg,Only 2 candidates of substance in 2020 = Trump and Tulsi Gabbard(veteran) that have strong policies. The rest are just fools in dems,2019-06-14T19:18:00Z
2019-06-14T17:06:54Z,@soloharmonicsrobj8246,GgINUxecNrg,Trump is delusional and psychotic and most of his supporters are as well. I don't necessarily speak on behalf of any political party.,2019-06-14T17:06:54Z
2019-06-14T14:16:42Z,@cent20buck71,GgINUxecNrg,"After seeing the president's proposed budget for 2019 to massively cut Medicare, I don't understand how those over 65 are ok with him.   I worked from age 15 for it and intend to keep it.",2019-06-14T14:16:42Z
2019-06-13T10:59:00Z,@michaelnixson9099,GgINUxecNrg,Make America even Greater..!,2019-06-13T11:24:09Z
2019-06-13T07:24:14Z,@VegasReefer,GgINUxecNrg,"We love you DONALD TRUMP!!!! TRUMP 2020!!!! 
This man is the greatest president of are time!!!!",2019-06-13T07:24:14Z
2019-06-13T04:00:00Z,@jeanskilling708,GgINUxecNrg,AND THEY THINK THEY CAN WIN. NOT AGAINST OUR PRESIDENT. GET THEM AGAIN TRUMP!,2019-06-13T04:00:55Z
2019-06-13T01:03:54Z,@pauldean7690,GgINUxecNrg,"Secret Service should investigate that guy in the yellow suit on the right screen. Not one time did he cheer or applaud Trump. Unless he is a Secret Service agent, there is something wrong here",2019-06-13T01:03:54Z
2019-06-12T05:55:35Z,@diosdadosasil1559,GgINUxecNrg,"Everywhere he goes, this President acts like an EMCEE of some show. JUST THAT POPULAR THAT CONNECTS PEOPLE.",2019-06-12T05:55:35Z
2019-06-08T08:30:45Z,@jonnyutah9479,GgINUxecNrg,How can people hate this man?🤔🤔🤔 but love obama?? Doesnt make any sense.,2019-06-08T08:30:45Z
2019-06-08T04:00:25Z,@kashkay6046,GgINUxecNrg,😈Gang😈and😈violence😈for president YUR HURRD!!!!!,2019-06-08T04:00:25Z
2019-06-07T22:29:24Z,@aidang7944,GgINUxecNrg,If you play this at half speed it is the most hilarious thing,2019-06-07T22:29:24Z
2019-06-07T21:11:44Z,@cindysantana1756,GgINUxecNrg,Trump 2020 take that name off Bank of America Warren Buffet owns 10% those democrats not for America at all Bank of America getting there hands little dirty in disguise Come on 2020 Trumps for America all the way 🇺🇸🇺🇸🇺🇸🇺🇸,2019-06-07T21:11:44Z
2019-06-05T20:16:14Z,@rgmm9727,GgINUxecNrg,Trump supporters are morons,2019-06-05T20:16:14Z
2019-06-05T20:15:16Z,@rgmm9727,GgINUxecNrg,"Lies , so happy about an invisible wall 😂",2019-06-05T20:15:16Z
2019-06-05T02:25:42Z,@kellikocha7733,GgINUxecNrg,I get chills every time I hear the song that plays when he comes out,2019-06-05T02:25:42Z
2019-06-03T21:56:59Z,@โชคดี-ฌ4ง,GgINUxecNrg,"What a beautiful human being our President really is. He, the president of USA stops his speech to take care of a fellow citizen.... I truly love my country, my President.... MAGA 2020!!!!!! I’m so proud...",2019-06-03T21:56:59Z
2019-06-03T13:01:29Z,@claytongunter2450,GgINUxecNrg,"The vast majority of Americans agree that trump is bad for our country. He's crippling our economy, our military, our mainstream media. Liberals, prepare yourselves for the destruction of democracy, if this clown in the white house isn't removed. Democracy good. Communism bad.",2019-06-03T13:01:29Z
2019-06-03T03:55:55Z,@claytongunter2450,GgINUxecNrg,"Trump is a communist traitor and constant liar. A dictator we don't need. He has no morals,ethics, no dignity, compassion, it's all about himself and not America!",2019-06-03T03:55:55Z
2019-06-02T23:40:29Z,@Murph1989sean,GgINUxecNrg,"When 2nd woman with heatstroke and the guy @37:09 says ""JOE BIDEN TOUCHED HER"" I almost spit out my drink!! XD XD",2019-06-02T23:40:29Z
2019-06-02T23:02:59Z,@johndoe4724,GgINUxecNrg,"As an Oil & Gas worker who lives in Houston, TX I can tell you that work has exploded since his election. We can barely shake a stick at it. Just a few years ago, the small contractor I was working for was close to going under. I’ve also noticed a lot of construction companies hiring fresh immigrants and more of the steel pipe I work with having printed on the side “Made in the USA”. Enough said",2019-06-02T23:07:06Z
2019-06-01T14:08:48Z,@ninalee8625,GgINUxecNrg,This guy makes me long for Nixon.,2019-06-01T14:08:48Z
2019-06-01T14:03:44Z,@ninalee8625,GgINUxecNrg,It's quite evident our fake president paid for all or the majority of these comments. They're all from fantasyland.,2019-06-01T14:03:44Z
2019-05-31T11:26:38Z,@krispots1856,GgINUxecNrg,Trump trump trump trump trump trump trump trump trump trump trump trump trump trump trump trump trump trump trump trump trump trump 2020,2019-05-31T11:26:38Z
2019-05-31T11:08:39Z,@krispots1856,GgINUxecNrg,The dems dont want us to have jobs.just sit at home and the gov will take care of you.the dems are sick people,2019-05-31T11:08:39Z
2019-05-31T11:07:04Z,@krispots1856,GgINUxecNrg,Fake news cnn,2019-05-31T11:07:04Z
2019-05-31T11:05:34Z,@krispots1856,GgINUxecNrg,Trump 2020...build that wall...tall and strong.illegal mexicans crying.if u c any illegals make sure you call ice,2019-05-31T11:05:34Z
2019-05-31T08:35:07Z,@altoncarter5575,GgINUxecNrg,Change your tie more often donald,2019-05-31T08:35:07Z
